hjd camera mag mag_err flux flux_err
#2457002.75785 be 4.834 0.02 36414.309 670.023
#2457089.54646 be 4.862 0.02 35472.798 652.699
2457690.74916 bg 4.587 0.02 56104.833 1032.329
2457471.48613 bg 4.606 0.02 55124.588 1014.292
2457740.61947 bg 4.617 0.02 54613.73 1004.893
2457348.51445 bg 5.994 0.02 15354.468 282.522
2458085.8056 bg 4.878 0.02 42909.178 789.529
2458036.76027 bg 4.803 0.02 45983.853 846.103
2457802.59143 bg 4.699 0.02 50596.54 930.976
#2457029.58678 be 4.778 0.02 38339.18 705.441
2457771.66875 bg 4.688 0.02 51120.764 940.622
2458339.79467 bg 5.385 0.02 26922.212 495.369
2457710.804 bg 4.649 0.02 52988.482 974.988
2458021.71196 bg 4.83 0.02 44869.49 825.599
2458161.56707 bg 4.811 0.02 45672.753 840.379
2458336.8808 bg 5.516 0.02 23859.739 439.019
2457738.65784 bg 4.628 0.02 54035.923 994.261
2458385.66689 bg 5.348 0.02 27844.285 512.335
#2456977.79201 be 4.778 0.02 38326.653 705.21
2457806.58417 bg 4.749 0.02 48346.11 889.568
2457435.5992 bg 5.94 0.02 16135.64 296.896
#2457205.88518 be 4.914 0.02 33805.148 622.015
2457386.70193 bg 5.906 0.02 16655.634 306.464
2458363.89283 bg 5.728 0.02 19614.472 360.906
2457367.74551 bg 5.921 0.02 16417.882 302.089
2458055.66511 bg 4.763 0.02 47704.881 877.77
#2457071.5992 be 4.84 0.02 36200.834 666.095
#2457066.55927 be 4.884 0.02 34753.64 639.467
2457671.76067 bg 4.577 0.02 56625.891 1041.916
2457695.76636 bg 4.586 0.02 56154.637 1033.245
2457719.77192 bg 4.625 0.02 54212.585 997.512
2457722.69847 bg 4.626 0.02 54154.902 996.45
#2458380.86027 bg 7.227 0.02 4931.148 90.733
2457798.60279 bg 4.782 0.02 46881.118 862.613
2457440.58347 bg 6.032 0.02 14823.332 272.749
#2457394.71005 bg 0.0 99.99 -6697.665 58.966
2457934.89381 bg 4.768 0.02 47482.243 873.673
2458000.72659 bg 4.779 0.02 47026.274 865.283
2458117.5397 bg 4.841 0.02 44406.044 817.071
2457914.94477 bg 4.861 0.02 43603.197 802.299
2457823.5298 bg 4.739 0.02 48808.926 898.084
#2457234.80882 be 4.944 0.02 32897.158 605.308
2458312.86335 bg 6.084 0.02 14132.426 260.037
#2457046.57805 be 4.844 0.02 36052.142 663.359
#2457036.577 be 4.802 0.02 37486.115 689.745
2457416.65699 bg 6.049 0.02 14599.648 268.634
#2457013.61645 be 4.755 0.02 39132.418 720.036
2457425.63159 bg 6.004 0.02 15209.957 279.863
2458015.77542 bg 4.739 0.02 48802.308 897.962
2458194.5119 bg 4.949 0.02 40216.253 739.979
2458157.62377 bg 4.929 0.02 40942.165 753.336
2457448.55362 bg 5.986 0.02 15467.56 284.603
2457412.59807 bg 5.88 0.02 17050.384 313.727
2458369.72714 bg 6.492 0.02 9705.11 178.574
2458366.82471 bg 6.237 0.02 12276.848 225.894
#2456948.67078 be 4.878 0.02 34957.54 643.219
#2456929.63722 be 4.824 0.02 36744.473 676.098
2457919.93238 bg 4.824 0.02 45110.945 830.041
2458383.67172 bg 5.83 0.02 17859.602 328.617
2458306.88758 bg 5.006 0.02 38159.915 702.142
2457442.5827 bg 6.065 0.02 14380.343 264.598
2457669.61759 bg 4.633 0.02 53771.398 989.394
2457373.77803 bg 5.955 0.02 15911.617 292.774
2457783.57264 bg 4.715 0.02 49866.19 917.538
2458179.56031 bg 5.085 0.02 35460.616 652.475
2457749.60583 bg 4.615 0.02 54669.773 1005.924
2457396.71248 bg 5.972 0.02 15665.621 288.247
#2457088.54768 be 4.866 0.02 35329.509 650.063
2457759.57951 bg 4.6 0.02 55445.388 1020.195
#2456826.91917 be 4.895 0.02 34425.507 633.429
2457949.84947 bg 4.837 0.02 44591.381 820.481
#2457060.59779 be 4.837 0.02 36285.672 667.656
#2456881.82636 be 4.876 0.02 35033.773 644.621
2458173.56922 bg 4.893 0.02 42332.177 778.912
#2456858.86506 be 4.789 0.02 37930.435 697.92
#2456872.91231 be 4.849 0.02 35895.096 660.47
2457453.5336 bg 5.991 0.02 15396.657 283.298
2457826.52321 bg 4.797 0.02 46240.293 850.821
#2457107.50427 be 4.961 0.02 32388.202 595.943
2457406.68842 bg 6.041 0.02 14713.066 270.72
2457375.63166 bg 5.847 0.02 17579.137 323.456
2457306.6695 bg 5.987 0.02 15452.66 284.329
2458382.80793 bg 5.409 0.02 26319.786 484.284
#2456988.64203 be 4.746 0.02 39491.698 726.647
2457383.71964 bg 5.928 0.02 16326.437 300.406
2457345.79979 bg 5.907 0.02 16635.036 306.085
#2457227.86631 be 4.696 0.02 41328.461 760.444
2457325.86263 bg 5.924 0.02 16383.325 301.453
#2457078.52371 be 4.85 0.02 35855.898 659.749
#2456876.83123 be 4.736 0.02 39833.752 732.941
2457952.85066 bg 4.719 0.02 49705.235 914.576
2457399.706 bg 5.985 0.02 15490.818 285.031
2458052.68193 bg 4.738 0.02 48817.158 898.236
2457752.72444 bg 4.649 0.02 52985.702 974.937
2457772.62789 bg 4.691 0.02 51016.166 938.697
2457910.94098 bg 4.794 0.02 46368.791 853.186
#2457181.93899 be 4.843 0.02 36101.677 664.271
2458146.64488 bg 4.896 0.02 42212.714 776.714
2457837.48947 bg 4.728 0.02 49281.797 906.785
2457819.53339 bg 4.728 0.02 49301.294 907.144
2458174.57218 bg 4.968 0.02 39500.911 726.817
2457458.5288 bg 6.084 0.02 14131.454 260.019
#2457198.9035 be 4.888 0.02 34630.837 637.207
2458351.75783 bg 5.899 0.02 16768.49 308.54
2458042.69161 bg 4.871 0.02 43198.37 794.85
2457929.90788 bg 5.936 0.02 16192.47 297.941
2458003.72117 bg 4.84 0.02 44439.159 817.681
2457224.84748 be 4.823 0.02 36757.242 676.333
2457566.89742 bg 4.61 0.02 54955.629 1011.184
2458345.77492 bg 5.639 0.02 21293.092 391.793
2457339.82191 bg 5.936 0.02 16197.108 298.027
2457347.67225 bg 5.867 0.02 17269.495 317.759
2457376.77119 bg 5.965 0.02 15777.786 290.311
#2457083.56438 be 4.847 0.02 35962.381 661.708
2457834.49217 bg 4.731 0.02 49140.509 904.185
2458163.58498 bg 4.998 0.02 38445.67 707.4
2457387.6602 bg 5.843 0.02 17640.86 324.592
2458352.75443 bg 5.688 0.02 20363.54 374.689
2457956.83372 bg 4.784 0.02 46793.2 860.995
2457370.62105 bg 5.809 0.02 18217.794 335.207
2458195.51115 bg 4.939 0.02 40572.691 746.538
2457728.67846 bg 4.61 0.02 54944.329 1010.976
2457768.69726 bg 4.796 0.02 46278.355 851.522
#2457269.91581 be 5.618 0.02 17684.435 325.394
2457585.85406 bg 4.588 0.02 56052.188 1031.36
2457560.91578 bg 4.612 0.02 54842.048 1009.094
2457779.58146 bg 4.771 0.02 47380.696 871.805
2457653.76805 bg 4.607 0.02 55071.856 1013.322
2457640.82249 bg 4.523 0.02 59517.962 1095.13
2457959.82345 bg 4.763 0.02 47700.545 877.69
2458086.64676 bg 4.854 0.02 43872.438 807.253
2457796.60111 bg 4.727 0.02 49351.782 908.073
2457546.93958 bg 4.613 0.02 54787.926 1008.098
2458175.55591 bg 4.844 0.02 44286.805 814.877
2457770.68468 bg 4.745 0.02 48540.634 893.148
#2456991.64881 be 4.737 0.02 39817.133 732.635
2458159.61829 bg 4.922 0.02 41208.517 758.237
2457586.84273 bg 4.603 0.02 55320.644 1017.9
#2456837.90933 be 4.838 0.02 36260.075 667.185
#2457051.64799 be 4.953 0.02 32611.276 600.047
2458032.75445 bg 4.829 0.02 44925.903 826.637
#2456845.88265 be 4.851 0.02 35850.076 659.641
2458371.73945 bg 5.907 0.02 16632.377 306.036
#2457249.75964 be 4.82 0.02 36878.407 678.563
2458039.64387 bg 4.768 0.02 47499.865 873.998
2458153.64241 bg 5.053 0.02 36537.342 672.287
2458334.81206 bg 5.906 0.02 16653.159 306.418
2458368.71886 bg 6.131 0.02 13536.947 249.08
#2457286.67346 bg 0.0 99.99 -1474.018 53.719
2457687.70574 bg 4.553 0.02 57904.996 1065.452
2457433.60846 bg 6.019 0.02 15001.881 276.035
#2457258.74841 be 4.853 0.02 35779.186 658.337
2457635.83631 bg 4.605 0.02 55219.229 1016.034
2457974.78383 bg 4.786 0.02 46724.98 859.74
2458091.54151 bg 4.869 0.02 43278.572 796.326
#2457287.83321 bg 7.951 0.02 2532.037 46.589
#2457210.91691 be 4.761 0.02 38943.555 716.561
2458332.85974 bg 6.76 0.02 7586.434 139.59
2458378.86351 bg 6.499 0.02 9643.84 177.447
2457319.576 bg 5.991 0.02 15392.696 283.226
2457418.63827 bg 5.983 0.02 15509.833 285.381
2457632.72179 bg 4.576 0.02 56691.571 1043.125
#2457009.61756 be 4.75 0.02 39346.714 723.98
#2456829.91646 be 4.851 0.02 35819.897 659.086
2457663.67726 bg 4.578 0.02 56596.104 1041.368
2457644.69363 bg 4.825 0.02 45092.603 829.704
2458354.7514 bg 6.133 0.02 13509.055 248.567
2457789.62873 bg 4.8 0.02 46103.62 848.307
#2457188.93459 be 4.929 0.02 33363.635 613.891
#2456983.64733 be 4.761 0.02 38934.493 716.395
#2456970.63651 be 4.826 0.02 36671.01 674.747
2458186.53078 bg 4.975 0.02 39245.589 722.119
2458001.78738 bg 4.743 0.02 48603.614 894.306
2457681.71016 bg 4.577 0.02 56615.647 1041.728
#2457318.5745 bg 0.0 99.99 -3063.528 55.315
2457968.8045 bg 4.795 0.02 46355.833 852.947
#2457189.92906 be 4.812 0.02 37161.32 683.768
#2457252.8323 be 4.868 0.02 35290.839 649.351
2457917.94569 bg 4.782 0.02 46881.644 862.622
2457762.6616 bg 4.704 0.02 50376.204 926.922
2458008.6937 bg 4.939 0.02 40567.112 746.435
2457421.6448 bg 5.969 0.02 15711.794 289.097
