HJD MAG_4 MAG_0 MAG_1 MAG_2 MAG_3 MER_4 MER_0 MER_1 MER_2 MER_3 GRADE FRAME
#1868.64854 5.667 6.185 5.869 5.757 5.686 0.03 0.066 0.029 0.026 0.027 A 83
#1869.63345 5.602 6.055 5.791 5.695 5.624 0.025 0.029 0.022 0.021 0.022 A 240
#1870.6461 5.409 6.031 5.598 5.481 5.421 0.026 0.059 0.028 0.023 0.023 A 393
#1871.65199 5.677 6.228 5.883 5.771 5.699 0.027 0.056 0.025 0.023 0.023 A 526
#1872.64355 5.46 6.059 5.64 5.534 5.473 0.03 0.074 0.032 0.027 0.027 A 683
#1873.64312 5.422 6.117 5.631 5.496 5.432 0.029 0.067 0.029 0.025 0.026 A 845
#1874.62581 5.418 6.084 5.624 5.489 5.429 0.028 0.063 0.028 0.025 0.025 A 999
#1875.63506 5.429 6.049 5.622 5.5 5.44 0.026 0.045 0.025 0.022 0.023 A 1164
#1876.63368 5.397 6.031 5.598 5.469 5.412 0.027 0.052 0.026 0.023 0.023 A 1324
#1877.63408 5.37 6.016 5.696 5.486 5.402 0.026 0.049 0.028 0.023 0.023 A 1484
#1878.6259 5.37 5.965 5.676 5.48 5.4 0.025 0.047 0.029 0.022 0.023 A 1638
#1879.62689 5.405 5.969 5.593 5.484 5.421 0.024 0.039 0.028 0.022 0.021 A 1794
#1880.61418 5.657 5.987 5.775 5.726 5.67 0.028 0.047 0.028 0.023 0.024 A 1946
#1881.61759 5.369 5.91 5.562 5.45 5.383 0.024 0.038 0.027 0.022 0.022 A 2104
#1884.59884 5.347 5.901 5.533 5.423 5.355 0.025 0.043 0.028 0.023 0.023 A 2246
#1885.60883 5.392 5.885 5.556 5.458 5.403 0.026 0.034 0.026 0.023 0.023 A 2410
#1886.61488 5.405 6.128 5.811 5.585 5.442 0.026 0.044 0.03 0.024 0.024 A 2573
#1887.60627 5.385 6.174 5.796 5.516 5.432 0.028 0.054 0.029 0.025 0.025 A 2729
#1887.60627 5.381 6.169 5.784 5.504 5.422 0.028 0.054 0.029 0.025 0.025 A 2729
#1888.61231 5.686 6.209 5.888 5.779 5.709 0.029 0.055 0.028 0.024 0.026 A 2891
#1889.60857 5.393 5.915 5.576 5.473 5.405 0.029 0.042 0.03 0.025 0.026 A 3050
#1899.58476 5.382 6.004 5.576 5.454 5.395 0.026 0.061 0.031 0.024 0.024 A 3171
#1902.56314 5.37 6.012 5.69 5.473 5.395 0.025 0.041 0.028 0.023 0.023 A 3475
#1904.56828 5.69 6.149 5.875 5.785 5.713 0.026 0.043 0.027 0.023 0.023 A 3798
#1906.56845 5.368 5.945 5.57 5.452 5.383 0.026 0.045 0.03 0.024 0.024 A 4122
#1908.56105 5.372 5.93 5.558 5.446 5.384 0.024 0.041 0.03 0.023 0.022 A 4439
#1913.54417 5.371 5.92 5.554 5.447 5.384 0.024 0.035 0.027 0.022 0.023 A 4570
#1913.55019 5.552 5.805 5.634 5.609 5.566 0.031 0.043 0.036 0.029 0.035 A 4573
#1919.53522 5.385 5.914 5.566 5.459 5.396 0.029 0.038 0.03 0.024 0.025 A 5258
#1923.58721 5.347 5.854 5.52 5.421 5.36 0.025 0.039 0.029 0.023 0.023 A 5916
#1925.59588 5.344 5.89 5.523 5.415 5.354 0.039 0.053 0.04 0.036 0.037 A 6259
#1929.60076 5.63 6.076 5.819 5.725 5.651 0.025 0.041 0.029 0.023 0.022 A 6910
#1929.60689 5.305 5.726 5.43 5.362 5.318 0.03 0.046 0.037 0.029 0.035 A 6913
#1931.57563 5.311 5.736 5.46 5.378 5.324 0.032 0.043 0.037 0.031 0.03 A 7236
#1931.5818 5.205 5.412 5.236 5.242 5.208 0.041 0.049 0.045 0.039 0.044 B 7239
#1933.58339 5.344 5.821 5.511 5.423 5.358 0.024 0.037 0.032 0.023 0.022 A 7568
#1937.52878 5.361 5.856 5.534 5.439 5.378 0.025 0.037 0.031 0.023 0.023 A 8109
#1940.5689 5.369 5.828 5.518 5.44 5.384 0.024 0.04 0.033 0.024 0.023 A 8487
#1946.58035 5.321 5.849 5.527 5.414 5.336 0.026 0.04 0.033 0.024 0.025 A 8782
#1950.52896 5.356 5.916 5.562 5.442 5.37 0.026 0.063 0.051 0.034 0.025 B 9319
#1950.53987 5.247 5.599 5.349 5.295 5.256 0.031 0.07 0.057 0.039 0.036 B 9324
#1953.55606 5.311 5.733 5.459 5.384 5.323 0.025 0.048 0.042 0.03 0.026 A 9637
#1959.57462 5.278 5.478 5.303 5.302 5.281 0.028 0.06 0.051 0.038 0.033 B 10376
#1959.58112 5.443 5.241 5.273 5.358 5.428 0.031 0.066 0.056 0.041 0.04 B 10379
#1963.53782 5.162 4.95 4.897 5.019 5.124 0.032 0.051 0.048 0.038 0.043 B 10770
#1966.53542 5.268 5.267 5.188 5.247 5.265 0.029 0.049 0.045 0.035 0.034 A 11320
#1967.50523 5.127 4.942 4.9 5.023 5.109 0.034 0.05 0.048 0.038 0.041 A 11473
#1981.51393 5.236 5.128 5.079 5.182 5.232 0.034 0.054 0.048 0.04 0.043 B 12510
#2070.93355 5.589 6.517 6.098 5.745 5.633 0.031 0.07 0.034 0.027 0.028 A 22647
#2070.93355 5.588 5.976 5.751 5.676 5.613 0.031 0.07 0.034 0.027 0.028 A 22647
#2082.90178 5.612 6.099 5.806 5.705 5.633 0.032 0.076 0.035 0.03 0.03 A 23480
#2085.94929 5.456 6.087 5.652 5.528 5.468 0.038 0.062 0.034 0.031 0.032 A 23955
#2087.90187 5.221 5.601 5.348 5.282 5.234 0.038 0.065 0.037 0.034 0.035 A 24379
#2094.86921 5.604 6.02 5.781 5.692 5.627 0.034 0.073 0.035 0.03 0.031 A 25101
#2095.90724 5.358 5.868 5.537 5.436 5.37 0.035 0.082 0.041 0.031 0.032 B 25344
#2096.89626 5.353 5.843 5.519 5.425 5.368 0.032 0.072 0.039 0.031 0.029 A 25565
#2103.85945 5.376 5.933 5.545 5.438 5.388 0.036 0.069 0.039 0.033 0.033 A 25907
#2104.88693 5.573 5.865 5.672 5.635 5.585 0.037 0.071 0.042 0.034 0.038 B 26117
#2104.8952 5.425 5.989 5.594 5.486 5.437 0.032 0.062 0.032 0.028 0.03 A 26121
