#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2024-12-11T19:44:58 [V7.4.2]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO service_protocol=ASU   IVOID of the protocol through which the data was retrieved
#INFO request_date=2024-12-11T19:44:58   Query execution date
#INFO request=https://vizier.cfa.harvard.edu/viz-bin/asu-txt?-oc.form=sexa&-out.max=99999&-source=J/A+A/605/A103/hd20794&-order=I&-out=RJD&-out=RV&-out=e_RV&-out=BIS&-out=FWHM&-out=Halpha&-out=logR&apos;(HK)&-#out=NaD1&-out=NaD2&-out=3AP2-1&-out=3AP3-2&-out=6AP2-1&-out=6AP3-2&-out=6AP4-3&-out=6AP5-4&-out=6AP6-5&-out=9AP2-1&-out=9AP3-2&-out=9AP4-3&-out=9AP5-4&-out=9AP6-5&-out=9AP7-6&-out=9AP8-7&-out=9AP9-8&   Full request #URL (POST)
#INFO contact=cds-question@unistra.fr   Email or URL to contact publisher
#INFO server_software=7.4.2   Software version
#INFO publisher=CDS   Data centre that produced the VOTable

#RESOURCE=yCat_36050103
#Name: J/A+A/605/A103
#Title: HD20794 HARPS radial velocities (Feng+, 2017)
#INFO ivoid=ivo://cds.vizier/j/a+a/605/a103     IVOID of underlying data collection     
#INFO creator=Feng F.     First author or institution     
#INFO cites=bibcode:2017A&A...605A.103F     Article or Data origin sources     
#INFO editor=Astronomy and Astrophysics     Editor name (article)     
#INFO original_date=2017     Year of the article publication     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/605/A103     Dataset landing page     
#INFO citation=doi:10.26093/cds/vizier.36050103     Dataset identifier that can be used for citation     
#INFO publication_date=2017-09-18     Date of first publication in the data centre     
#INFO rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html     Licence URI     
#Table J_A_A_605_A103_hd20794:
#Name: J/A+A/605/A103/hd20794
#Title: HARPS radial velocities for HD20794 and corresponding noise proxies
#---Details of Columns:
#    RJD (d)      (F11.5) Reduced Julian Date (JD-2400000) [ucd=time.epoch]
#    RV (m/s)     (F9.5)  Radial velocity variation [ucd=phys.veloc;arith.diff]
#    e_RV (m/s)   (F8.5)  rms uncertainty on radial velocity [ucd=stat.error]
#    BIS (m/s)    (F9.5)  Bisector span of the cross-correlation function [ucd=phys.veloc]
#    FWHM (km/s)  (F8.5)  Cross-correlation function (CCF) FWHM [ucd=spect.line.width]
#    Halpha       (F8.5)  Activity index H-alpha [ucd=spect.index;em.line.Halpha]
#    logR'(HK)    (F8.5)  Activity index logR'(HK) [ucd=meta.code;spect.index;em.opt.R]
#    NaD1         (F8.5)  Activity index Sodium NaD1 [ucd=spect.index]
#    NaD2 (m/s)   (F8.5)  Activity index Sodium NaD2 [ucd=spect.index]
#    3AP2-1 (m/s) (F8.5)  Differential radial velocity 3AP2-1 [ucd=phys.veloc;arith.diff]
#    3AP3-2 (m/s) (F8.5)  Differential radial velocity 3AP3-2 [ucd=phys.veloc;arith.diff]
#    6AP2-1 (m/s) (F8.5)  Differential radial velocity 6AP2-1 [ucd=phys.veloc;arith.diff]
#    6AP3-2 (m/s) (F8.5)  Differential radial velocity 6AP3-2 [ucd=phys.veloc;arith.diff]
#    6AP4-3 (m/s) (F8.5)  Differential radial velocity 6AP4-3 [ucd=phys.veloc;arith.diff]
#    6AP5-4 (m/s) (F8.5)  Differential radial velocity 6AP5-4 [ucd=phys.veloc;arith.diff]
#    6AP6-5 (m/s) (F8.5)  Differential radial velocity 6AP6-5 [ucd=phys.veloc;arith.diff]
#    9AP2-1 (m/s) (F8.5)  Differential radial velocity 9AP2-1 [ucd=phys.veloc;arith.diff]
#    9AP3-2 (m/s) (F8.5)  Differential radial velocity 9AP3-2 [ucd=phys.veloc;arith.diff]
#    9AP4-3 (m/s) (F8.5)  Differential radial velocity 9AP4-3 [ucd=phys.veloc;arith.diff]
#    9AP5-4 (m/s) (F8.5)  Differential radial velocity 9AP5-4 [ucd=phys.veloc;arith.diff]
#    9AP6-5 (m/s) (F8.5)  Differential radial velocity 9AP6-5 [ucd=phys.veloc;arith.diff]
#    9AP7-6 (m/s) (F8.5)  Differential radial velocity 9AP7-6 [ucd=phys.veloc;arith.diff]
#    9AP8-7 (m/s) (F8.5)  Differential radial velocity 9AP8-7 [ucd=phys.veloc;arith.diff]
#    9AP9-8 (m/s) (F9.5)  Differential radial velocity 9AP9-8 [ucd=phys.veloc;arith.diff]
#----------- --------- -------- --------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- #---------
#                      e_                 FWH               l                 Na       3AP2     3AP3     6AP2     6AP3     6AP4     6AP5     6AP6     9AP2     9AP3     9AP4     9AP5     9AP6     9AP7     9AP8     #9AP      
#RJD (d)     RV (m/s)  RV (m/s) BIS (m/s) M (km/s) Halpha   ogR'(HK) NaD1     D2 (m/s) -1 (m/s) -2 (m/s) -1 (m/s) -2 (m/s) -3 (m/s) -4 (m/s) -5 (m/s) -1 (m/s) -2 (m/s) -3 (m/s) -4 (m/s) -5 (m/s) -6 (m/s) -7 (m/s) #9-8 (m/s)
#----------- --------- -------- --------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- #---------
RJD RV e_RV BIS FWHM Halpha logR'(HK) NaD1 NaD2 3AP2-1 3AP3-2 6AP2-1 6AP3-2 6AP4-3 6AP5-4 6AP6-5 9AP2-1 9AP3-2 9AP4-3 9AP5-4 9AP6-5 9AP7-6 9AP8-7 9AP9-8

53571.92932  -3.54130  0.38257 -41.67402  6.38962  0.16833  0.96511  0.70038  0.49035  3.39352  2.57419 -2.37015  5.24664 -2.45300  3.07913  2.13056 -2.25731  1.68105  3.70944 -0.20450 -2.26730  3.35641  0.65005   3.58131
53571.93408  -3.76917  0.41364 -41.01080  6.39146  0.16774  0.96602  0.70225  0.49138  1.93219  0.44478  0.93062  1.82372 -0.32190 -1.04907  4.48251  0.41171  0.28990  1.32489  1.54338 -1.77583 -1.45835  5.15898   0.83355
53571.93854  -4.43531  0.39294 -41.18059  6.39094  0.16735  0.96642  0.70151  0.49181  3.67808  3.06575  1.96009  3.08491  0.08724  1.12875  5.23736  0.97792  2.41222  1.78039  0.96703  0.16103  0.01386  3.54310   5.73817
53571.94239  -4.86209  0.38001 -41.47111  6.38986  0.16692  0.96633  0.70080  0.49251  2.91127  1.33229 -0.28098  2.56476  0.87194 -1.31392  6.16297 -1.26338  2.31786  0.67180  1.91097  0.44848 -2.04767  3.62819   4.24236
53571.94634  -3.12528  0.39686 -41.93214  6.38907  0.16795  0.96531  0.70026  0.49187  3.87870  2.90546 -1.85511  5.21747 -1.68447  3.14394  1.74174 -1.16608 -0.18713  4.04659  0.47915 -0.73155  2.66149 -0.43096   4.67923
53571.95046  -3.85658  0.47315 -42.68820  6.39098  0.16859  0.96504  0.70213  0.49107  3.83731  1.74888  1.58449  2.56858  1.68779 -0.69752  4.14252  1.65324  1.80946  1.66585  1.52718  0.54801 -1.38621  3.34359   3.25107
53571.95505  -5.36683  0.47419 -41.06624  6.39064  0.16727  0.96465  0.70059  0.49159  3.57290  1.95124  2.34447  2.87703  0.10603  1.05303  2.18683  3.44172  2.71777  1.17336  0.93397  0.39796 -0.28163  2.11785   3.23329
53668.73724  -6.89164  0.29859 -41.03172  6.39011  0.16726  0.96784  0.70236  0.49133  3.53321  1.71681  0.80345  3.27053  0.06446  0.93421  2.41679  4.47958 -1.08908  3.62586 -1.21015  1.93701 -0.50576  2.57203   2.13055
53668.73907  -6.16515  0.30493 -41.90785  6.38973  0.16725  0.96844  0.70182  0.49021  1.58912  4.35904  0.80419  1.02462  0.69561  3.15956  2.68048  4.74186 -2.18477  1.54946 -0.37475  2.22407  1.55606  1.55497   5.38238
53668.74087  -5.74430  0.31151 -41.68790  6.38988  0.16732  0.96856  0.70180  0.48980  2.36283  2.65461  0.99516  1.63424  0.91677  1.69201  1.54973  3.76273 -1.21892  1.74749  0.27430  1.74201  0.72081  0.07170   4.06248
53668.74278  -7.35462  0.30414 -41.34688  6.38787  0.16759  0.96830  0.70279  0.49160  2.83046  4.70193  0.45626  3.02235 -0.67373  4.63408  1.33086  2.57116 -1.13721  3.76889 -2.17949  1.99882  3.82241 -0.69033   4.14497
53668.74466  -5.96760  0.30929 -41.56264  6.38761  0.16696  0.96822  0.70280  0.48915  2.24526  1.52687  1.38474  1.66866  0.36097  0.82994  1.62887  5.11543 -1.74144  2.01988  0.33878  0.52641 -0.06876  1.78130   2.59845
53668.74650  -5.16532  0.31874 -40.08107  6.38863  0.16681  0.96888  0.70208  0.49124  2.97039  3.26048  0.10987  2.02111  1.90555  0.79700  4.62898  2.50455 -1.09020  1.88779  1.43602  1.24770  0.22243  2.37865   4.34384
53673.80491  -4.55144  0.28672 -41.31135  6.38486  0.16784  0.96945  0.70216  0.49024  0.35865  4.27676  0.38472  0.18515  0.12550  2.97077  4.13826  0.02162 -0.29607  0.14905 -0.30772  1.84463  1.02785  5.99886  -2.13624
53673.80676  -2.88388  0.29129 -41.26971  6.38610  0.16779  0.96939  0.70222  0.49030 -0.19697  2.73883  1.75186 -0.00589 -1.50913  3.54102 -0.01478  1.72591  0.31798 -0.33773 -0.83933  0.89089  1.89255  1.17983   0.52963
53673.80858  -5.25399  0.34084 -41.35783  6.39036  0.16721  0.96824  0.70255  0.49018  2.29880  4.42610  1.94549  2.25617 -1.10274  4.46349  1.69196  6.29993 -2.46521  3.12534 -2.72314  4.04563  2.10471  0.36884   2.55449
53673.81089  -1.46836  0.28144 -41.43188  6.38762  0.16764  0.96846  0.70196  0.49187  0.63156  4.57280  0.31995  0.69840 -0.34011  4.08550  2.24669  0.98499 -0.77663  0.64750 -0.76457  2.37946  2.13997  2.30207   1.13800
53673.81406  -3.01835  0.27958 -41.08071  6.38668  0.16790  0.96843  0.70215  0.49022  1.98273  5.06198  1.98997  1.54027 -0.29150  4.57818  2.15807  3.81963 -0.65110  1.99157 -1.64969  2.70123  2.38109  4.99293  -3.91439
53673.81593  -3.83373  0.30307 -40.20225  6.38716  0.16703  0.96943  0.70246  0.49079  1.51060  3.26652 -0.17189  1.15963  0.83415  1.77751  3.39320  1.42703 -0.19048  0.85347  0.08334  1.68701  0.45362  3.87570   0.20921
53673.82665  -3.64063  0.28893 -41.46597  6.38706  0.16798  0.96906  0.70268  0.49095  1.13560  4.23838  1.55164  1.00202 -0.67064  4.18333  1.34371  1.00871  1.22528  0.72058 -1.53455  2.13540  2.99842  0.27861   1.59875
53673.82851  -6.22839  0.29273 -40.10346  6.38677  0.16789  0.96978  0.70140  0.49043  1.11076  3.93572  1.61682  0.41264  0.46356  2.48057  4.00231  3.54760 -0.51703  0.52628 -0.59505  2.43000  1.14001  3.21278   0.30970
53673.83042  -4.64644  0.29054 -41.14165  6.38817  0.16736  0.96911  0.70247  0.49098  1.08193  4.82994  1.52655  0.12272  1.08137  2.82253  4.73824  3.10704 -0.24561 -0.08098  0.28524  2.32539  1.30323  4.25728   0.61413
