#-- \lz TYC 0 \lz P=0
JD-2440000 mag mag_(error)
7866.54190 4.3970 0.004
7897.26878 4.3802 0.006
7897.28312 4.3890 0.005
7927.65173 4.4131 0.009
7927.74064 4.3908 0.003
7927.75494 4.3952 0.005
7927.82952 4.3945 0.004
7927.84382 4.3920 0.004
7947.20073 4.3847 0.004
7947.21504 4.3927 0.004
7947.28960 4.3959 0.003
7947.30391 4.3993 0.003
7984.77353 4.3959 0.005
7984.78786 4.3901 0.004
7984.86242 4.3947 0.004
7997.12736 4.3944 0.004
7997.14167 4.3972 0.005
7997.21624 4.3897 0.003
8037.10007 4.3947 0.008
8037.11439 4.3853 0.005
8054.51910 4.4053 0.005
8054.53339 4.3954 0.003
8089.17385 4.3917 0.004
8089.35162 4.4097 0.007
8118.21663 4.3941 0.004
8118.23097 4.3932 0.004
8118.30554 4.3950 0.003
8118.31988 4.3939 0.004
8144.09215 4.3918 0.005
8185.23319 4.3969 0.003
8185.30776 4.3955 0.005
8185.32208 4.3940 0.003
8205.21574 4.3959 0.003
8205.23009 4.4023 0.004
8205.30463 4.3926 0.003
8205.31896 4.3967 0.003
8205.39353 4.3949 0.005
8205.40785 4.3921 0.003
8205.48241 4.4009 0.003
8241.99985 4.3999 0.003
8242.01420 4.3948 0.003
8269.18781 4.3958 0.003
8269.20213 4.3958 0.004
8292.73352 4.3943 0.003
8292.74782 4.3942 0.003
8292.82241 4.3905 0.003
8292.83670 4.3991 0.004
8327.73190 4.3971 0.004
8327.74621 4.3913 0.004
8327.82080 4.3959 0.004
8327.83506 4.3948 0.004
8341.95126 4.3923 0.004
8341.96556 4.3958 0.005
8342.04013 4.3956 0.003
8342.05445 4.3932 0.003
8342.12903 4.3939 0.004
8342.14335 4.3920 0.004
8381.84785 4.3947 0.004
8381.92242 4.3981 0.004
8381.93674 4.4006 0.005
8395.78714 4.3996 0.004
8395.80147 4.3997 0.004
8395.87607 4.3943 0.004
8395.96496 4.3936 0.005
8395.97928 4.3908 0.004
8433.29106 4.4088 0.004
8433.36564 4.3968 0.004
8433.37996 4.3929 0.003
8457.35888 4.3959 0.004
8457.37322 4.3989 0.004
8457.44774 4.3952 0.003
8457.46212 4.3971 0.003
8487.03748 4.3934 0.004
8487.05183 4.3952 0.003
8487.12638 4.3928 0.004
8487.14070 4.3925 0.004
8487.21529 4.4011 0.005
8487.22960 4.4229 0.009
8523.91329 4.3985 0.005
8523.92761 4.3904 0.004
8524.00218 4.3927 0.003
8524.09107 4.3900 0.003
8524.10542 4.3966 0.003
8544.74236 4.3853 0.004
8544.75669 4.3896 0.004
8544.83126 4.3947 0.004
8544.84559 4.3982 0.004
8544.92014 4.3877 0.004
8609.62235 4.3920 0.004
8637.95052 4.4018 0.004
8637.96485 4.3963 0.003
8638.03940 4.3948 0.003
8638.05375 4.3962 0.003
8638.12826 4.4008 0.003
8669.94540 4.3940 0.004
8670.01997 4.3924 0.003
8670.03424 4.3902 0.004
8687.52598 4.3940 0.004
8687.54028 4.3972 0.004
8687.61485 4.3985 0.004
8687.62919 4.3977 0.004
8726.16440 4.3927 0.003
8726.17874 4.3930 0.004
8726.25329 4.3909 0.003
8726.26761 4.3967 0.004
8726.34219 4.4081 0.006
8726.35649 4.3901 0.004
8738.34063 4.4012 0.005
8738.35495 4.3999 0.004
8738.60730 4.3966 0.005
8777.69258 4.4007 0.004
8777.78147 4.3910 0.004
8777.79577 4.3924 0.005
8797.34714 4.4073 0.005
8830.50276 4.3908 0.004
8830.51709 4.3872 0.003
8830.59168 4.4003 0.003
8830.60600 4.4034 0.004
8949.05288 4.3904 0.005
8949.14181 4.3990 0.004
8949.15609 4.3949 0.005
8949.23068 4.4041 0.004
9022.88118 4.6950 0.029
9022.89549 4.3932 0.006
9022.97006 4.3969 0.004
9022.98439 4.3959 0.004
9058.45401 4.3812 0.004
