HJD UT_Date Camera FWHM Limit mag mag_err flux(mJy) flux_err Filter
2456809.94481 2014-06-01.4466576 be 2.05 14.724 12.422 0.026 41.216 1.001 V
2456826.91924 2014-06-18.4204011 be 1.45 15.649 12.843 0.017 27.993 0.425 V
2456826.92075 2014-06-18.4219115 be 1.43 15.526 12.547 0.014 36.729 0.477 V
2456829.91653 2014-06-21.4175543 be 1.56 15.592 12.473 0.012 39.331 0.450 V
2456829.91817 2014-06-21.4191988 be 1.56 15.713 12.626 0.013 34.181 0.403 V
2456832.90559 2014-06-24.4064785 be 2.03 15.611 12.285 0.010 46.774 0.451 V
2456832.90715 2014-06-24.4080364 be 2.02 15.607 12.285 0.010 46.794 0.450 V
2456837.90938 2014-06-29.4100339 be 1.71 15.776 12.561 0.011 36.296 0.382 V
2456837.91094 2014-06-29.4115916 be 1.64 15.717 12.519 0.011 37.685 0.402 V
2456845.88269 2014-07-07.3829571 be 1.63 15.719 12.635 0.013 33.890 0.398 V
2456845.88433 2014-07-07.3845871 be 1.69 15.754 12.718 0.013 31.367 0.386 V
2456848.87744 2014-07-10.3775394 be 1.54 15.621 12.563 0.013 36.188 0.439 V
2456848.87891 2014-07-10.3790134 be 1.57 15.672 12.811 0.016 28.799 0.416 V
2456850.88207 2014-07-12.3820724 be 1.46 15.390 12.764 0.020 30.096 0.539 V
2456850.88364 2014-07-12.3836380 be 1.50 15.458 12.779 0.019 29.659 0.507 V
2456858.86509 2014-07-20.3646844 be 1.76 15.715 12.482 0.011 39.006 0.403 V
2456858.86667 2014-07-20.3662629 be 1.78 15.693 12.666 0.013 32.917 0.409 V
2456870.84692 2014-08-01.3458931 be 2.22 15.639 12.457 0.012 39.898 0.440 V
2456870.84838 2014-08-01.3473515 be 2.21 15.678 12.411 0.011 41.656 0.425 V
2456871.84256 2014-08-02.3414893 be 1.59 14.632 12.278 0.025 47.077 1.080 V
2456872.91231 2014-08-03.4111855 be 1.47 15.855 12.882 0.014 26.985 0.351 V
2456876.83123 2014-08-07.3299063 be 1.54 15.742 12.593 0.012 35.232 0.391 V
2456876.83268 2014-08-07.3313613 be 1.45 15.608 12.521 0.013 37.650 0.442 V
2456879.83121 2014-08-10.3297407 be 1.44 15.530 12.915 0.020 26.191 0.474 V
2456879.83274 2014-08-10.3312725 be 1.42 15.478 12.773 0.018 29.832 0.497 V
